region,state,county,population
South,Alabama,Autauga,56145
South,Alabama,Baldwin,229287
South,Alabama,Barbour,24589
South,Alabama,Bibb,22136
South,Alabama,Blount,57879
South,Alabama,Bullock,9976
South,Alabama,Butler,19504
South,Alabama,Calhoun,113469
South,Alabama,Chambers,32865
South,Alabama,Cherokee,26294
South,Alabama,Chilton,44397
South,Alabama,Choctaw,12418
South,Alabama,Clarke,23291
South,Alabama,Clay,13112
South,Alabama,Cleburne,14967
South,Alabama,Coffee,53230
South,Alabama,Colbert,55411
South,Alabama,Conecuh,11851
South,Alabama,Coosa,10650
South,Alabama,Covington,36930
South,Alabama,Crenshaw,13681
South,Alabama,Cullman,84515
South,Alabama,Dale,48959
South,Alabama,Dallas,36098
South,Alabama,DeKalb,71658
South,Alabama,Elmore,82158
South,Alabama,Escambia,36281
South,Alabama,Etowah,102371
South,Alabama,Fayette,16241
South,Alabama,Franklin,31507
South,Alabama,Geneva,26411
South,Alabama,Greene,7990
South,Alabama,Hale,14670
South,Alabama,Henry,17223
South,Alabama,Houston,106580
South,Alabama,Jackson,51582
South,Alabama,Jefferson,655342
South,Alabama,Lamar,13764
South,Alabama,Lauderdale,93368
South,Alabama,Lawrence,32857
South,Alabama,Lee,166831
South,Alabama,Limestone,102228
South,Alabama,Lowndes,9641
South,Alabama,Macon,17895
South,Alabama,Madison,379453
South,Alabama,Marengo,18733
South,Alabama,Marion,29703
South,Alabama,Marshall,96990
South,Alabama,Mobile,412716
South,Alabama,Monroe,20459
South,Alabama,Montgomery,224639
South,Alabama,Morgan,119883
South,Alabama,Perry,8687
South,Alabama,Pickens,19793
South,Alabama,Pike,32966
South,Alabama,Randolph,22920
South,Alabama,Russell,58237
South,Alabama,St. Clair,90739
South,Alabama,Shelby,221428
South,Alabama,Sumter,12225
South,Alabama,Talladega,79985
South,Alabama,Tallapoosa,40133
South,Alabama,Tuscaloosa,210758
South,Alabama,Walker,63143
South,Alabama,Washington,15976
South,Alabama,Wilcox,10206
South,Alabama,Winston,23508
West,Alaska,Aleutians East Borough,3401
West,Alaska,Aleutians West Census Area,5680
West,Alaska,Anchorage Municipality,287095
West,Alaska,Bethel Census Area,18437
West,Alaska,Bristol Bay Borough,788
West,Alaska,Chugach Census Area,6427
West,Alaska,Copper River Census Area,2919
West,Alaska,Denali Borough,2081
West,Alaska,Dillingham Census Area,4833
West,Alaska,Fairbanks North Star Borough,95651
West,Alaska,Haines Borough,2614
West,Alaska,Hoonah-Angoon Census Area,2141
West,Alaska,Juneau City and Borough,31849
West,Alaska,Kenai Peninsula Borough,59414
West,Alaska,Ketchikan Gateway Borough,13747
West,Alaska,Kodiak Island Borough,12992
West,Alaska,Kusilvak Census Area,8328
West,Alaska,Lake and Peninsula Borough,1493
West,Alaska,Matanuska-Susitna Borough,110213
West,Alaska,Nome Census Area,9909
West,Alaska,North Slope Borough,9294
West,Alaska,Northwest Arctic Borough,7644
West,Alaska,Petersburg Borough,3296
West,Alaska,Prince of Wales-Hyder Census Area,6147
West,Alaska,Sitka City and Borough,8405
West,Alaska,Skagway Municipality,1179
West,Alaska,Southeast Fairbanks Census Area,6957
West,Alaska,Wrangell City and Borough,2510
West,Alaska,Yakutat City and Borough,637
West,Alaska,Yukon-Koyukuk Census Area,5077
West,Arizona,Apache,71875
West,Arizona,Cochise,127450
West,Arizona,Coconino,142481
West,Arizona,Gila,54303
West,Arizona,Graham,39211
West,Arizona,Greenlee,9341
West,Arizona,La Paz,21480
West,Arizona,Maricopa,4579081
West,Arizona,Mohave,217206
West,Arizona,Navajo,112112
West,Arizona,Pima,1061175
West,Arizona,Pinal,480828
West,Arizona,Santa Cruz,46808
West,Arizona,Yavapai,240226
West,Arizona,Yuma,217824
South,Arkansas,Arkansas,17383
South,Arkansas,Ashley,19339
South,Arkansas,Baxter,42242
South,Arkansas,Benton,288774
South,Arkansas,Boone,37625
South,Arkansas,Bradley,10639
South,Arkansas,Calhoun,5113
South,Arkansas,Carroll,28276
South,Arkansas,Chicot,9924
South,Arkansas,Clark,22103
South,Arkansas,Clay,14375
South,Arkansas,Cleburne,24935
South,Arkansas,Cleveland,7957
South,Arkansas,Columbia,23331
South,Arkansas,Conway,21037
South,Arkansas,Craighead,112245
South,Arkansas,Crawford,63409
South,Arkansas,Crittenden,47616
South,Arkansas,Cross,16142
South,Arkansas,Dallas,6802
South,Arkansas,Desha,11110
South,Arkansas,Drew,17977
South,Arkansas,Faulkner,126919
South,Arkansas,Franklin,17897
South,Arkansas,Fulton,12381
South,Arkansas,Garland,99789
South,Arkansas,Grant,18449
South,Arkansas,Greene,45597
South,Arkansas,Hempstead,21253
South,Arkansas,Hot Spring,33787
South,Arkansas,Howard,13109
South,Arkansas,Independence,37757
South,Arkansas,Izard,13613
South,Arkansas,Jackson,16636
South,Arkansas,Jefferson,65377
South,Arkansas,Johnson,26513
South,Arkansas,Lafayette,6596
South,Arkansas,Lawrence,16410
South,Arkansas,Lee,8513
South,Arkansas,Lincoln,12944
South,Arkansas,Little River,12180
South,Arkansas,Logan,21410
South,Arkansas,Lonoke,73921
South,Arkansas,Madison,16644
South,Arkansas,Marion,16790
South,Arkansas,Miller,43177
South,Arkansas,Mississippi,40066
South,Arkansas,Monroe,6584
South,Arkansas,Montgomery,9006
South,Arkansas,Nevada,8099
South,Arkansas,Newton,7602
South,Arkansas,Ouachita,23167
South,Arkansas,Perry,10327
South,Arkansas,Phillips,17299
South,Arkansas,Pike,10643
South,Arkansas,Poinsett,23283
South,Arkansas,Polk,19707
South,Arkansas,Pope,64334
South,Arkansas,Prairie,7966
South,Arkansas,Pulaski,392980
South,Arkansas,Randolph,18247
South,Arkansas,St. Francis,24682
South,Arkansas,Saline,123968
South,Arkansas,Scott,10164
South,Arkansas,Searcy,7842
South,Arkansas,Sebastian,127590
South,Arkansas,Sevier,16702
South,Arkansas,Sharp,17424
South,Arkansas,Stone,12674
South,Arkansas,Union,38219
South,Arkansas,Van Buren,16541
South,Arkansas,Washington,243216
South,Arkansas,White,78729
South,Arkansas,Woodruff,6264
South,Arkansas,Yell,21181
West,California,Alameda,1662323
West,California,Alpine,1119
West,California,Amador,40083
West,California,Butte,212744
West,California,Calaveras,46308
West,California,Colusa,21558
West,California,Contra Costa,1152333
West,California,Del Norte,27968
West,California,El Dorado,192925
West,California,Fresno,1000918
West,California,Glenn,28283
West,California,Humboldt,134977
West,California,Imperial,180267
West,California,Inyo,18046
West,California,Kern,901362
West,California,Kings,152692
West,California,Lake,64479
West,California,Lassen,30016
West,California,Los Angeles,9943046
West,California,Madera,157761
West,California,Marin,257332
West,California,Mariposa,17160
West,California,Mendocino,86061
West,California,Merced,279252
West,California,Modoc,8763
West,California,Mono,14534
West,California,Monterey,430906
West,California,Napa,135965
West,California,Nevada,99606
West,California,Orange,3166857
West,California,Placer,402950
West,California,Plumas,18967
West,California,Riverside,2489188
West,California,Sacramento,1559146
West,California,San Benito,64055
West,California,San Bernardino,2189183
West,California,San Diego,3332427
West,California,San Francisco,866606
West,California,San Joaquin,767967
